Sistema de Informa��es Hidrol�gicas
Vers�o Web 3.0
� 2018 Ag�ncia Nacional de �guas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluvi�metro, 2 = Pluvi�grafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restri��es da consulta:
C�digo da Esta��o:01036013


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1036013;1;01/03/1985;1;44,8;138,2;4;18;1;1;0;;0;0,6;2,1;16,7;44,8;6,4;13,0;11,1;1,0;6,3;0,0;0,0;0,0;0,0;0,0;6,5;0,3;0,0;0,0;0,0;0,0;3,5;4,9;6,7;11,0;1,0;0,0;0,0;0,0;0,0;1,7;0,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/02/1985;1;40,5;165,6;20;19;1;1;0;;0;0,2;0,5;1,0;1,8;0,0;0,0;0,0;0,0;2,6;13,6;7,7;1,4;5,0;0,4;0,2;25,9;3,3;23,8;33,3;40,5;3,2;0,0;0,0;0,1;0,0;0,0;0,0;1,1;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1036013;1;01/01/1985;1;8,3;13,9;6;6;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;8,3;2,7;2,3;0,2;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/12/1984;1;2,1;2,1;26;1;1;1;0;1537,30004882813;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/11/1984;1;10,0;20,4;8;12;1;1;0;1537,30004882813;1;2,5;2,2;1,3;0,0;0,1;0,0;1,3;10,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,4;1,6;0,0;0,0;0,0;0,1;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/10/1984;1;7,7;49,1;31;18;1;1;0;1537,30004882813;1;0,8;0,9;0,0;1,4;4,2;2,6;0,2;2,2;1,6;0,0;0,0;3,4;7,6;7,6;0,2;0,0;0,1;1,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,4;7,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/09/1984;1;27,0;118,6;24;15;1;1;0;1537,30004882813;1;21,4;4,9;18,9;1,1;11,7;3,0;7,4;19,8;0,2;0,0;0,0;0,2;0,8;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;27,0;1,7;0,3;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/08/1984;1;50,9;137,6;30;24;1;1;0;1537,30004882813;1;5,2;0,1;0,0;0,0;0,0;4,2;7,6;0,4;4,0;8,9;0,5;2,6;1,9;1,3;2,2;1,6;2,2;0,0;0,1;5,5;6,1;2,6;6,2;0,0;22,0;1,0;0,0;0,2;0,0;50,9;0,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/07/1984;1;46,9;229,1;14;28;1;1;0;1537,30004882813;1;0,1;35,8;10,8;0,1;14,9;0,9;2,3;0,3;4,5;2,6;2,1;3,9;6,7;46,9;5,8;15,6;3,0;2,2;1,9;0,5;1,6;25,1;0,0;1,2;0,0;0,0;18,3;0,6;8,1;8,7;4,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/06/1984;1;67,0;173,6;1;27;1;1;0;1537,30004882813;1;67,0;0,2;1,4;7,8;16,8;1,9;0,1;0,0;0,0;0,0;3,8;21,3;2,9;5,9;0,3;6,1;1,8;5,1;0,1;1,4;1,2;1,5;3,6;2,6;2,3;8,2;0,9;0,6;2,3;6,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/05/1984;1;51,4;265,5;19;27;1;1;0;1537,30004882813;1;0,1;9,7;0,5;7,6;0,0;4,5;0,2;0,0;11,9;3,6;7,0;4,0;24,8;0,2;1,8;3,5;1,5;10,3;51,4;1,5;4,1;25,3;28,7;28,7;3,8;0,0;2,4;0,0;4,2;24,1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/04/1984;1;106,5;318,9;19;25;1;1;0;1537,30004882813;1;0,0;16,2;0,1;0,0;1,7;0,0;9,0;15,1;19,2;0,0;8,4;8,8;7,6;0,0;10,4;12,7;13,0;2,0;106,5;18,4;12,3;2,9;6,0;9,2;13,2;4,2;8,6;9,7;2,5;1,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1036013;1;01/03/1984;1;85,0;137,8;16;12;1;1;0;1537,30004882813;1;16,0;0,0;0,4;3,8;0,0;0,3;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,5;85,0;0,2;0,0;8,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;18,8;1,5;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/02/1984;1;11,0;38,4;4;11;1;1;0;1537,30004882813;1;0,0;8,6;1,8;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;3,6;1,9;0,2;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,6;9,6;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
1036013;1;01/01/1984;1;27,0;46,2;12;9;1;1;0;1537,30004882813;1;0,0;7,1;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,1;27,0;0,3;7,3;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/12/1983;1;4,5;9,7;28;10;1;1;0;;0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,1;0,0;0,5;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,3;4,5;0,0;1,2;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1036013;1;01/11/1983;1;86,9;102,0;30;6;1;1;0;;0;6,1;0,0;2,0;4,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86,9;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
